R3,L1,L2
1000,27.8,64.2
2000,43.9,48.1
3000,53.7,38.3
4000,60.1,31.9
5000,65.0,27.0
6000,68.5,23.5
7000,71.3,20.7
8000,73.7,18.3
9000,75.7,18.3
1000,77.0,15.0
