R3,L1,L2
1000,10.3,81.7
2000,11.2,80.8
3000,27.3,64.7
4000,33.3,58.7
5000,38.2,53.8
6000,42.2,49.8
7000,46.4,45.6
8000,49.2,42.8
9000,52.3,39.7
1000,54.7,37.3
