R3,L1,L2
1000,50.9,41.1
2000,66.5,25.5
3000,73.9,18.1
4000,78.2,13.8
5000,80.7,11.3
6000,82.9,9.1
7000,84.3,7.7
8000,85.7,6.3
9000,86.4,5.6
1000,87.0,5.0
