R2,L1,L2,RX
1000,50.9,41.1,807.4
2000,66.5,25.5,766.9
3000,73.9,18.1,734.8
4000,78.2,13.8,705.9
5000,80.7,11.3,700.1
6000,82.9,9.1,658.6
7000,84.3,7.7,639.4
8000,85.7,6.3,588.1
9000,86.4,5.6,583.3
1000,87.0,5.0,574.7
