R2,L1,L2,RX
1000,10.3,81.7,7932
2000,11.2,80.8,14429
3000,27.3,64.7,7110
4000,33.3,58.7,7051
5000,38.2,53.8,7042
6000,42.2,49.8,7081
7000,46.4,45.6,6879
8000,49.2,42.8,6959
9000,52.3,39.7,6832
1000,54.7,37.3,6819
